pref,date,conf.daily,conf.weekly,conf.csum,deaths.daily,deaths.weekly,deaths.csum
Chiba,2003-05-05,0,0,2,0,0,2
Chiba,2003-05-06,0,0,2,0,0,2
Chiba,2003-05-07,0,0,2,0,0,2
Chiba,2003-05-08,0,0,2,0,0,2
Chiba,2003-05-09,0,0,2,0,0,2
Chiba,2003-05-10,0,0,2,0,0,2
Chiba,2003-05-11,0,0,2,0,0,2
Chiba,2003-05-12,0,0,2,0,0,2
Chiba,2003-05-13,0,0,2,0,0,2
Chiba,2003-05-14,0,0,2,0,0,2
Chiba,2003-05-15,0,0,2,0,0,2
Chiba,2003-05-16,0,0,2,0,0,2
Chiba,2003-05-17,0,0,2,0,0,2
Chiba,2003-05-18,0,0,2,0,0,2
Chiba,2003-05-19,0,0,2,0,0,2
Chiba,2003-05-20,0,0,2,0,0,2
Chiba,2003-05-21,0,0,2,0,0,2
Chiba,2003-05-22,0,0,2,0,0,2
Chiba,2003-05-23,0,0,2,0,0,2
Chiba,2003-05-24,0,0,2,0,0,2
Chiba,2003-05-25,0,0,2,0,0,2
Chiba,2003-05-26,0,0,2,0,0,2
Chiba,2003-05-27,0,0,2,0,0,2
Chiba,2003-05-28,0,0,2,0,0,2
Chiba,2003-05-29,0,0,2,0,0,2
Chiba,2003-05-30,0,0,2,0,0,2
Chiba,2003-05-31,0,0,2,0,0,2
Chiba,2003-06-01,0,0,2,0,0,2
Chiba,2003-06-02,0,0,2,0,0,2
Chiba,2003-06-03,0,0,2,0,0,2
Chiba,2003-06-04,0,0,2,0,0,2
Chiba,2003-06-05,0,0,2,0,0,2
Chiba,2003-06-06,0,0,2,0,0,2
Chiba,2003-06-07,0,0,2,0,0,2
Chiba,2003-06-08,0,0,2,0,0,2
Chiba,2003-06-09,0,0,2,0,0,2
Chiba,2003-06-10,0,0,2,0,0,2
Chiba,2003-06-11,0,0,2,0,0,2
Chiba,2003-06-12,0,0,2,0,0,2
Chiba,2003-06-13,0,0,2,0,0,2
Chiba,2003-06-14,0,0,2,0,0,2
Chiba,2003-06-15,0,0,2,0,0,2
Chiba,2003-06-16,0,0,2,0,0,2
Chiba,2003-06-17,0,0,2,0,0,2
Chiba,2003-06-18,0,0,2,0,0,2
Chiba,2003-06-19,0,0,2,0,0,2
Chiba,2003-06-20,0,0,2,0,0,2
Chiba,2003-06-21,0,0,2,0,0,2
Chiba,2003-06-22,0,0,2,0,0,2
Chiba,2003-06-23,0,0,2,0,0,2
Chiba,2003-06-24,0,0,2,0,0,2
Chiba,2003-06-25,0,0,2,0,0,2
Chiba,2003-06-26,0,0,2,0,0,2
Chiba,2003-06-27,0,0,2,0,0,2
Chiba,2003-06-28,0,0,2,0,0,2
Chiba,2003-06-29,0,0,2,0,0,2
Chiba,2003-06-30,0,0,2,0,0,2
Chiba,2003-07-01,0,0,2,0,0,2
Chiba,2003-07-02,0,0,2,0,0,2
Chiba,2003-07-03,0,0,2,0,0,2
Chiba,2003-07-04,0,0,2,0,0,2
Chiba,2003-07-05,0,0,2,0,0,2
Chiba,2003-07-06,0,0,2,0,0,2
Chiba,2003-07-07,0,0,2,0,0,2
Chiba,2003-07-08,0,0,2,0,0,2
Chiba,2003-07-09,0,0,2,0,0,2
Chiba,2003-07-10,0,0,2,0,0,2
Chiba,2003-07-11,0,0,2,0,0,2
Chiba,2003-07-12,0,0,2,0,0,2
Chiba,2003-07-13,0,0,2,0,0,2
Chiba,2003-07-14,0,0,2,0,0,2
Chiba,2003-07-15,0,0,2,0,0,2
Chiba,2003-07-16,0,0,2,0,0,2
Chiba,2003-07-17,0,0,2,0,0,2
Chiba,2003-07-18,0,0,2,0,0,2
Chiba,2003-07-19,0,0,2,0,0,2
Chiba,2003-07-20,0,0,2,0,0,2
Chiba,2003-07-21,0,0,2,0,0,2
Chiba,2003-07-22,0,0,2,0,0,2
Chiba,2003-07-23,0,0,2,0,0,2
Chiba,2003-07-24,0,0,2,0,0,2
Chiba,2003-07-25,0,0,2,0,0,2
Chiba,2003-07-26,0,0,2,0,0,2
Chiba,2003-07-27,0,0,2,0,0,2
Chiba,2003-07-28,0,0,2,0,0,2
Chiba,2003-07-29,0,0,2,0,0,2
Chiba,2003-07-30,0,0,2,0,0,2
Chiba,2003-07-31,0,0,2,0,0,2
Chiba,2003-08-01,0,0,2,0,0,2
Chiba,2003-08-02,0,0,2,0,0,2
Chiba,2003-08-03,0,0,2,0,0,2
Chiba,2003-08-04,0,0,2,0,0,2
Chiba,2003-08-05,0,0,2,0,0,2
Chiba,2003-08-06,0,0,2,0,0,2
Chiba,2003-08-07,0,0,2,0,0,2
Chiba,2003-08-08,0,0,2,0,0,2
Chiba,2003-08-09,0,0,2,0,0,2
Chiba,2003-08-10,0,0,2,0,0,2
Chiba,2003-08-11,0,0,2,0,0,2
Chiba,2003-08-12,0,0,2,0,0,2
Chiba,2003-08-13,0,0,2,0,0,2
Chiba,2003-08-14,0,0,2,0,0,2
Chiba,2003-08-15,0,0,2,0,0,2
Chiba,2003-08-16,0,0,2,0,0,2
Chiba,2003-08-17,0,0,2,0,0,2
Chiba,2003-08-18,0,0,2,0,0,2
Chiba,2003-08-19,0,0,2,0,0,2
Chiba,2003-08-20,0,0,2,0,0,2
Chiba,2003-08-21,0,0,2,0,0,2
Chiba,2003-08-22,0,0,2,0,0,2
Chiba,2003-08-23,0,0,2,0,0,2
Chiba,2003-08-24,0,0,2,0,0,2
Chiba,2003-08-25,0,0,2,0,0,2
Chiba,2003-08-26,0,0,2,0,0,2
Chiba,2003-08-27,0,0,2,0,0,2
Chiba,2003-08-28,0,0,2,0,0,2
Chiba,2003-08-29,0,0,2,0,0,2
Chiba,2003-08-30,0,0,2,0,0,2
Chiba,2003-08-31,0,0,2,0,0,2
Chiba,2003-09-01,0,0,2,0,0,2
Chiba,2003-09-02,0,0,2,0,0,2
Chiba,2003-09-03,0,0,2,0,0,2
Chiba,2003-09-04,0,0,2,0,0,2
Chiba,2003-09-05,0,0,2,0,0,2
Chiba,2003-09-06,0,0,2,0,0,2
Chiba,2003-09-07,0,0,2,0,0,2
Chiba,2003-09-08,0,0,2,0,0,2
Chiba,2003-09-09,0,0,2,0,0,2
Chiba,2003-09-10,0,0,2,0,0,2
Chiba,2003-09-11,0,0,2,0,0,2
Chiba,2003-09-12,0,0,2,0,0,2
Chiba,2003-09-13,0,0,2,0,0,2
Chiba,2003-09-14,0,0,2,0,0,2
Chiba,2003-09-15,0,0,2,0,0,2
Chiba,2003-09-16,0,0,2,0,0,2
Chiba,2003-09-17,0,0,2,0,0,2
Chiba,2003-09-18,0,0,2,0,0,2
Chiba,2003-09-19,0,0,2,0,0,2
Chiba,2003-09-20,0,0,2,0,0,2
Chiba,2003-09-21,0,0,2,0,0,2
Chiba,2003-09-22,0,0,2,0,0,2
Chiba,2003-09-23,0,0,2,0,0,2
Chiba,2003-09-24,0,0,2,0,0,2
Chiba,2003-09-25,0,0,2,0,0,2
Chiba,2003-09-26,0,0,2,0,0,2
Chiba,2003-09-27,0,0,2,0,0,2
Chiba,2003-09-28,0,0,2,0,0,2
Chiba,2003-09-29,0,0,2,0,0,2
Chiba,2003-09-30,0,0,2,0,0,2
Chiba,2003-10-01,0,0,2,0,0,2
Chiba,2003-10-02,0,0,2,0,0,2
Chiba,2003-10-03,0,0,2,0,0,2
Chiba,2003-10-04,0,0,2,0,0,2
Chiba,2003-10-05,0,0,2,0,0,2
Chiba,2003-10-06,0,0,2,0,0,2
Chiba,2003-10-07,0,0,2,0,0,2
Chiba,2003-10-08,0,0,2,0,0,2
Chiba,2003-10-09,0,0,2,0,0,2
Chiba,2003-10-10,0,0,2,0,0,2
Chiba,2003-10-11,0,0,2,0,0,2
Chiba,2003-10-12,0,0,2,0,0,2
Chiba,2003-10-13,0,0,2,0,0,2
Chiba,2003-10-14,0,0,2,0,0,2
Chiba,2003-10-15,0,0,2,0,0,2
Chiba,2003-10-16,0,0,2,0,0,2
Chiba,2003-10-17,0,0,2,0,0,2
Chiba,2003-10-18,0,0,2,0,0,2
Chiba,2003-10-19,0,0,2,0,0,2
Chiba,2003-10-20,0,0,2,0,0,2
Chiba,2003-10-21,0,0,2,0,0,2
Chiba,2003-10-22,0,0,2,0,0,2
Chiba,2003-10-23,0,0,2,0,0,2
Chiba,2003-10-24,0,0,2,0,0,2
Chiba,2003-10-25,0,0,2,0,0,2
Chiba,2003-10-26,0,0,2,0,0,2
Chiba,2003-10-27,0,0,2,0,0,2
Chiba,2003-10-28,0,0,2,0,0,2
Chiba,2003-10-29,0,0,2,0,0,2
Chiba,2003-10-30,0,0,2,0,0,2
Chiba,2003-10-31,0,0,2,0,0,2
Chiba,2003-11-01,0,0,2,0,0,2
Chiba,2003-11-02,0,0,2,0,0,2
Chiba,2003-11-03,0,0,2,0,0,2
Chiba,2003-11-04,0,0,2,0,0,2
Chiba,2003-11-05,0,0,2,0,0,2
Chiba,2003-11-06,0,0,2,0,0,2
Chiba,2003-11-07,0,0,2,0,0,2
Chiba,2003-11-08,0,0,2,0,0,2
Chiba,2003-11-09,0,0,2,0,0,2
Chiba,2003-11-10,0,0,2,0,0,2
Chiba,2003-11-11,0,0,2,0,0,2
Chiba,2003-11-12,0,0,2,0,0,2
Chiba,2003-11-13,0,0,2,0,0,2
Chiba,2003-11-14,0,0,2,0,0,2
Chiba,2003-11-15,0,0,2,0,0,2
Chiba,2003-11-16,0,0,2,0,0,2
Chiba,2003-11-17,0,0,2,0,0,2
Chiba,2003-11-18,0,0,2,0,0,2
Chiba,2003-11-19,0,0,2,0,0,2
Chiba,2003-11-20,0,0,2,0,0,2
Chiba,2003-11-21,0,0,2,0,0,2
Chiba,2003-11-22,0,0,2,0,0,2
Chiba,2003-11-23,0,0,2,0,0,2
Chiba,2003-11-24,0,0,2,0,0,2
Chiba,2003-11-25,0,0,2,0,0,2
Chiba,2003-11-26,0,0,2,0,0,2
Chiba,2003-11-27,0,0,2,0,0,2
Chiba,2003-11-28,0,0,2,0,0,2
Chiba,2003-11-29,0,0,2,0,0,2
Chiba,2003-11-30,0,0,2,0,0,2
Chiba,2003-12-01,0,0,2,0,0,2
Chiba,2003-12-02,0,0,2,0,0,2
Chiba,2003-12-03,0,0,2,0,0,2
Chiba,2003-12-04,0,0,2,0,0,2
Chiba,2003-12-05,0,0,2,0,0,2
Chiba,2003-12-06,0,0,2,0,0,2
Chiba,2003-12-07,0,0,2,0,0,2
Chiba,2003-12-08,0,0,2,0,0,2
Chiba,2003-12-09,0,0,2,0,0,2
Chiba,2003-12-10,0,0,2,0,0,2
Chiba,2003-12-11,0,0,2,0,0,2
Chiba,2003-12-12,0,0,2,0,0,2
Chiba,2003-12-13,0,0,2,0,0,2
Chiba,2003-12-14,0,0,2,0,0,2
Chiba,2003-12-15,0,0,2,0,0,2
Chiba,2003-12-16,0,0,2,0,0,2
Chiba,2003-12-17,0,0,2,0,0,2
Chiba,2003-12-18,0,0,2,0,0,2
Chiba,2003-12-19,0,0,2,0,0,2
Chiba,2003-12-20,0,0,2,0,0,2
Chiba,2003-12-21,0,0,2,0,0,2
Chiba,2003-12-22,0,0,2,0,0,2
Chiba,2003-12-23,0,0,2,0,0,2
Chiba,2003-12-24,0,0,2,0,0,2
Chiba,2003-12-25,0,0,2,0,0,2
Chiba,2003-12-26,0,0,2,0,0,2
Chiba,2003-12-27,0,0,2,0,0,2
Chiba,2003-12-28,0,0,2,0,0,2
Chiba,2003-12-29,0,0,2,0,0,2
Chiba,2003-12-30,0,0,2,0,0,2
Chiba,2003-12-31,0,0,2,0,0,2
Chiba,2004-01-01,0,0,2,0,0,2
Chiba,2004-01-02,0,0,2,0,0,2
Chiba,2004-01-03,0,0,2,0,0,2
Chiba,2004-01-04,0,0,2,0,0,2
Chiba,2004-01-05,0,0,2,0,0,2
Chiba,2004-01-06,0,0,2,0,0,2
Chiba,2004-01-07,0,0,2,0,0,2
Chiba,2004-01-08,0,0,2,0,0,2
Chiba,2004-01-09,0,0,2,0,0,2
Chiba,2004-01-10,0,0,2,0,0,2
Chiba,2004-01-11,0,0,2,0,0,2
Chiba,2004-01-12,0,0,2,0,0,2
Chiba,2004-01-13,0,0,2,0,0,2
Chiba,2004-01-14,0,0,2,0,0,2
Chiba,2004-01-15,0,0,2,0,0,2
Chiba,2004-01-16,0,0,2,0,0,2
Chiba,2004-01-17,0,0,2,0,0,2
Chiba,2004-01-18,0,0,2,0,0,2
Chiba,2004-01-19,0,0,2,0,0,2
Chiba,2004-01-20,0,0,2,0,0,2
Chiba,2004-01-21,0,0,2,0,0,2
Chiba,2004-01-22,0,0,2,0,0,2
Chiba,2004-01-23,0,0,2,0,0,2
Chiba,2004-01-24,0,0,2,0,0,2
Chiba,2004-01-25,0,0,2,0,0,2
Chiba,2004-01-26,0,0,2,0,0,2
Chiba,2004-01-27,0,0,2,0,0,2
Chiba,2004-01-28,0,0,2,0,0,2
Chiba,2004-01-29,0,0,2,0,0,2
Chiba,2004-01-30,0,0,2,0,0,2
Chiba,2004-01-31,0,0,2,0,0,2
Chiba,2004-02-01,0,0,2,0,0,2
Chiba,2004-02-02,0,0,2,0,0,2
Chiba,2004-02-03,0,0,2,0,0,2
Chiba,2004-02-04,0,0,2,0,0,2
Chiba,2004-02-05,0,0,2,0,0,2
Chiba,2004-02-06,0,0,2,0,0,2
Chiba,2004-02-07,0,0,2,0,0,2
Chiba,2004-02-08,0,0,2,0,0,2
Chiba,2004-02-09,0,0,2,0,0,2
Chiba,2004-02-10,0,0,2,0,0,2
Chiba,2004-02-11,0,0,2,0,0,2
Chiba,2004-02-12,0,0,2,0,0,2
Chiba,2004-02-13,0,0,2,0,0,2
Chiba,2004-02-14,0,0,2,0,0,2
Chiba,2004-02-15,0,0,2,0,0,2
Chiba,2004-02-16,0,0,2,0,0,2
Chiba,2004-02-17,0,0,2,0,0,2
Chiba,2004-02-18,0,0,2,0,0,2
Chiba,2004-02-19,0,0,2,0,0,2
Chiba,2004-02-20,0,0,2,0,0,2
Chiba,2004-02-21,0,0,2,0,0,2
Chiba,2004-02-22,0,0,2,0,0,2
Chiba,2004-02-23,0,0,2,0,0,2
Chiba,2004-02-24,0,0,2,0,0,2
Chiba,2004-02-25,0,0,2,0,0,2
Chiba,2004-02-26,0,0,2,0,0,2
Chiba,2004-02-27,0,0,2,0,0,2
Chiba,2004-02-28,0,0,2,0,0,2
Chiba,2004-02-29,0,0,2,0,0,2
Chiba,2004-03-01,0,0,2,0,0,2
Chiba,2004-03-02,0,0,2,0,0,2
Chiba,2004-03-03,0,0,2,0,0,2
Chiba,2004-03-04,0,0,2,0,0,2
Chiba,2004-03-05,0,0,2,0,0,2
Chiba,2004-03-06,0,0,2,0,0,2
Chiba,2004-03-07,0,0,2,0,0,2
Chiba,2004-03-08,0,0,2,0,0,2
Chiba,2004-03-09,0,0,2,0,0,2
Chiba,2004-03-10,0,0,2,0,0,2
Chiba,2004-03-11,0,0,2,0,0,2
Chiba,2004-03-12,0,0,2,0,0,2
Chiba,2004-03-13,0,0,2,0,0,2
Chiba,2004-03-14,0,0,2,0,0,2
Chiba,2004-03-15,0,0,2,0,0,2
Chiba,2004-03-16,0,0,2,0,0,2
Chiba,2004-03-17,0,0,2,0,0,2
Chiba,2004-03-18,0,0,2,0,0,2
Chiba,2004-03-19,0,0,2,0,0,2
Chiba,2004-03-20,0,0,2,0,0,2
Chiba,2004-03-21,0,0,2,0,0,2
Chiba,2004-03-22,0,0,2,0,0,2
Chiba,2004-03-23,0,0,2,0,0,2
Chiba,2004-03-24,0,0,2,0,0,2
Chiba,2004-03-25,0,0,2,0,0,2
Chiba,2004-03-26,0,0,2,0,0,2
Chiba,2004-03-27,0,0,2,0,0,2
Chiba,2004-03-28,0,0,2,0,0,2
Chiba,2004-03-29,0,0,2,0,0,2
Chiba,2004-03-30,0,0,2,0,0,2
Chiba,2004-03-31,0,0,2,0,0,2
Chiba,2004-04-01,0,0,2,0,0,2
Chiba,2004-04-02,0,0,2,0,0,2
Chiba,2004-04-03,0,0,2,0,0,2
Chiba,2004-04-04,0,0,2,0,0,2
Chiba,2004-04-05,0,0,2,0,0,2
Chiba,2004-04-06,0,0,2,0,0,2
Chiba,2004-04-07,0,0,2,0,0,2
Chiba,2004-04-08,0,0,2,0,0,2
Chiba,2004-04-09,0,0,2,0,0,2
Chiba,2004-04-10,0,0,2,0,0,2
Chiba,2004-04-11,0,0,2,0,0,2
Chiba,2004-04-12,0,0,2,0,0,2
Chiba,2004-04-13,0,0,2,0,0,2
Chiba,2004-04-14,0,0,2,0,0,2
Chiba,2004-04-15,0,0,2,0,0,2
Chiba,2004-04-16,0,0,2,0,0,2
Chiba,2004-04-17,0,0,2,0,0,2
Chiba,2004-04-18,0,0,2,0,0,2
Chiba,2004-04-19,0,0,2,0,0,2
Chiba,2004-04-20,0,0,2,0,0,2
Chiba,2004-04-21,0,0,2,0,0,2
Chiba,2004-04-22,0,0,2,0,0,2
Chiba,2004-04-23,0,0,2,0,0,2
Chiba,2004-04-24,0,0,2,0,0,2
Chiba,2004-04-25,0,0,2,0,0,2
Chiba,2004-04-26,0,0,2,0,0,2
Chiba,2004-04-27,0,0,2,0,0,2
Chiba,2004-04-28,0,0,2,0,0,2
Chiba,2004-04-29,0,0,2,0,0,2
Chiba,2004-04-30,0,0,2,0,0,2
Chiba,2004-05-01,0,0,2,0,0,2
Chiba,2004-05-02,0,0,2,0,0,2
Chiba,2004-05-03,0,0,2,0,0,2
Chiba,2004-05-04,0,0,2,0,0,2
Chiba,2004-05-05,0,0,2,0,0,2
Chiba,2004-05-06,0,0,2,0,0,2
Chiba,2004-05-07,0,0,2,0,0,2
Chiba,2004-05-08,0,0,2,0,0,2
Chiba,2004-05-09,0,0,2,0,0,2
Chiba,2004-05-10,0,0,2,0,0,2
Chiba,2004-05-11,0,0,2,0,0,2
Chiba,2004-05-12,0,0,2,0,0,2
Chiba,2004-05-13,0,0,2,0,0,2
Chiba,2004-05-14,0,0,2,0,0,2
Chiba,2004-05-15,0,0,2,0,0,2
Chiba,2004-05-16,0,0,2,0,0,2
Chiba,2004-05-17,0,0,2,0,0,2
Chiba,2004-05-18,0,0,2,0,0,2
Chiba,2004-05-19,0,0,2,0,0,2
Chiba,2004-05-20,0,0,2,0,0,2
Chiba,2004-05-21,0,0,2,0,0,2
Chiba,2004-05-22,0,0,2,0,0,2
Chiba,2004-05-23,0,0,2,0,0,2
Chiba,2004-05-24,0,0,2,0,0,2
Chiba,2004-05-25,0,0,2,0,0,2
Chiba,2004-05-26,0,0,2,0,0,2
Chiba,2004-05-27,0,0,2,0,0,2
Chiba,2004-05-28,0,0,2,0,0,2
Chiba,2004-05-29,0,0,2,0,0,2
Chiba,2004-05-30,0,0,2,0,0,2
Chiba,2004-05-31,0,0,2,0,0,2
Chiba,2004-06-01,0,0,2,0,0,2
Chiba,2004-06-02,0,0,2,0,0,2
Chiba,2004-06-03,0,0,2,0,0,2
Chiba,2004-06-04,0,0,2,0,0,2
Chiba,2004-06-05,0,0,2,0,0,2
Chiba,2004-06-06,0,0,2,0,0,2
Chiba,2004-06-07,0,0,2,0,0,2
Chiba,2004-06-08,0,0,2,0,0,2
Chiba,2004-06-09,0,0,2,0,0,2
Chiba,2004-06-10,0,0,2,0,0,2
Chiba,2004-06-11,0,0,2,0,0,2
Chiba,2004-06-12,0,0,2,0,0,2
Chiba,2004-06-13,0,0,2,0,0,2
Chiba,2004-06-14,0,0,2,0,0,2
Chiba,2004-06-15,0,0,2,0,0,2
Chiba,2004-06-16,0,0,2,0,0,2
Chiba,2004-06-17,0,0,2,0,0,2
Chiba,2004-06-18,0,0,2,0,0,2
Chiba,2004-06-19,0,0,2,0,0,2
Chiba,2004-06-20,0,0,2,0,0,2
Chiba,2004-06-21,0,0,2,0,0,2
Chiba,2004-06-22,0,0,2,0,0,2
Chiba,2004-06-23,0,0,2,0,0,2
Chiba,2004-06-24,0,0,2,0,0,2
Chiba,2004-06-25,0,0,2,0,0,2
Chiba,2004-06-26,0,0,2,0,0,2
Chiba,2004-06-27,0,0,2,0,0,2
Chiba,2004-06-28,0,0,2,0,0,2
Chiba,2004-06-29,0,0,2,0,0,2
Chiba,2004-06-30,0,0,2,0,0,2
Chiba,2004-07-01,0,0,2,0,0,2
Chiba,2004-07-02,0,0,2,0,0,2
Chiba,2004-07-03,0,0,2,0,0,2
Chiba,2004-07-04,0,0,2,0,0,2
Chiba,2004-07-05,0,0,2,0,0,2
Chiba,2004-07-06,0,0,2,0,0,2
Chiba,2004-07-07,0,0,2,0,0,2
Chiba,2004-07-08,0,0,2,0,0,2
Chiba,2004-07-09,0,0,2,0,0,2
Chiba,2004-07-10,0,0,2,0,0,2
Chiba,2004-07-11,0,0,2,0,0,2
Chiba,2004-07-12,0,0,2,0,0,2
Chiba,2004-07-13,0,0,2,0,0,2
Chiba,2004-07-14,0,0,2,0,0,2
Chiba,2004-07-15,0,0,2,0,0,2
Chiba,2004-07-16,0,0,2,0,0,2
Chiba,2004-07-17,0,0,2,0,0,2
Chiba,2004-07-18,0,0,2,0,0,2
Chiba,2004-07-19,0,0,2,0,0,2
Chiba,2004-07-20,0,0,2,0,0,2
Chiba,2004-07-21,0,0,2,0,0,2
Chiba,2004-07-22,0,0,2,0,0,2
Chiba,2004-07-23,0,0,2,0,0,2
Chiba,2004-07-24,0,0,2,0,0,2
Chiba,2004-07-25,0,0,2,0,0,2
Chiba,2004-07-26,0,0,2,0,0,2
Chiba,2004-07-27,0,0,2,0,0,2
Chiba,2004-07-28,0,0,2,0,0,2
Chiba,2004-07-29,0,0,2,0,0,2
Chiba,2004-07-30,0,0,2,0,0,2
Chiba,2004-07-31,0,0,2,0,0,2
Chiba,2004-08-01,0,0,2,0,0,2
Chiba,2004-08-02,0,0,2,0,0,2
Chiba,2004-08-03,0,0,2,0,0,2
Chiba,2004-08-04,0,0,2,0,0,2
Chiba,2004-08-05,0,0,2,0,0,2
Chiba,2004-08-06,0,0,2,0,0,2
Chiba,2004-08-07,0,0,2,0,0,2
Chiba,2004-08-08,0,0,2,0,0,2
Chiba,2004-08-09,0,0,2,0,0,2
Chiba,2004-08-10,0,0,2,0,0,2
Chiba,2004-08-11,0,0,2,0,0,2
Chiba,2004-08-12,0,0,2,0,0,2
Chiba,2004-08-13,0,0,2,0,0,2
Chiba,2004-08-14,0,0,2,0,0,2
Chiba,2004-08-15,0,0,2,0,0,2
Chiba,2004-08-16,0,0,2,0,0,2
Chiba,2004-08-17,0,0,2,0,0,2
Chiba,2004-08-18,0,0,2,0,0,2
Chiba,2004-08-19,0,0,2,0,0,2
Chiba,2004-08-20,0,0,2,0,0,2
Chiba,2004-08-21,0,0,2,0,0,2
Chiba,2004-08-22,0,0,2,0,0,2
Chiba,2004-08-23,0,0,2,0,0,2
Chiba,2004-08-24,0,0,2,0,0,2
Chiba,2004-08-25,0,0,2,0,0,2
Chiba,2004-08-26,0,0,2,0,0,2
Chiba,2004-08-27,0,0,2,0,0,2
Chiba,2004-08-28,0,0,2,0,0,2
Chiba,2004-08-29,0,0,2,0,0,2
Chiba,2004-08-30,0,0,2,0,0,2
Chiba,2004-08-31,0,0,2,0,0,2
Chiba,2004-09-01,0,0,2,0,0,2
Chiba,2004-09-02,0,0,2,0,0,2
Chiba,2004-09-03,0,0,2,0,0,2
Chiba,2004-09-04,0,0,2,0,0,2
Chiba,2004-09-05,0,0,2,0,0,2
Chiba,2004-09-06,0,0,2,0,0,2
Chiba,2004-09-07,0,0,2,0,0,2
Chiba,2004-09-08,0,0,2,0,0,2
Chiba,2004-09-09,0,0,2,0,0,2
Chiba,2004-09-10,0,0,2,0,0,2
Chiba,2004-09-11,0,0,2,0,0,2
Chiba,2004-09-12,0,0,2,0,0,2
Chiba,2004-09-13,0,0,2,0,0,2
Chiba,2004-09-14,0,0,2,0,0,2
Chiba,2004-09-15,0,0,2,0,0,2
Chiba,2004-09-16,0,0,2,0,0,2
Chiba,2004-09-17,0,0,2,0,0,2
Chiba,2004-09-18,0,0,2,0,0,2
Chiba,2004-09-19,0,0,2,0,0,2
Chiba,2004-09-20,0,0,2,0,0,2
Chiba,2004-09-21,0,0,2,0,0,2
Chiba,2004-09-22,0,0,2,0,0,2
Chiba,2004-09-23,0,0,2,0,0,2
Chiba,2004-09-24,0,0,2,0,0,2
Chiba,2004-09-25,0,0,2,0,0,2
Chiba,2004-09-26,0,0,2,0,0,2
Chiba,2004-09-27,0,0,2,0,0,2
Chiba,2004-09-28,0,0,2,0,0,2
Chiba,2004-09-29,0,0,2,0,0,2
Chiba,2004-09-30,0,0,2,0,0,2
Chiba,2004-10-01,0,0,2,0,0,2
Chiba,2004-10-02,0,0,2,0,0,2
Chiba,2004-10-03,0,0,2,0,0,2
Chiba,2004-10-04,0,0,2,0,0,2
Chiba,2004-10-05,0,0,2,0,0,2
Chiba,2004-10-06,0,0,2,0,0,2
Chiba,2004-10-07,0,0,2,0,0,2
Chiba,2004-10-08,0,0,2,0,0,2
Chiba,2004-10-09,0,0,2,0,0,2
Chiba,2004-10-10,0,0,2,0,0,2
Chiba,2004-10-11,0,0,2,0,0,2
Chiba,2004-10-12,0,0,2,0,0,2
Chiba,2004-10-13,0,0,2,0,0,2
Chiba,2004-10-14,0,0,2,0,0,2
Chiba,2004-10-15,0,0,2,0,0,2
Chiba,2004-10-16,0,0,2,0,0,2
Chiba,2004-10-17,0,0,2,0,0,2
Chiba,2004-10-18,0,0,2,0,0,2
Chiba,2004-10-19,0,0,2,0,0,2
Chiba,2004-10-20,0,0,2,0,0,2
Chiba,2004-10-21,0,0,2,0,0,2
Chiba,2004-10-22,0,0,2,0,0,2
Chiba,2004-10-23,0,0,2,0,0,2
Chiba,2004-10-24,0,0,2,0,0,2
Chiba,2004-10-25,0,0,2,0,0,2
Chiba,2004-10-26,0,0,2,0,0,2
Chiba,2004-10-27,0,0,2,0,0,2
Chiba,2004-10-28,0,0,2,0,0,2
Chiba,2004-10-29,0,0,2,0,0,2
Chiba,2004-10-30,0,0,2,0,0,2
Chiba,2004-10-31,0,0,2,0,0,2
Chiba,2004-11-01,0,0,2,0,0,2
Chiba,2004-11-02,0,0,2,0,0,2
Chiba,2004-11-03,0,0,2,0,0,2
Chiba,2004-11-04,0,0,2,0,0,2
Chiba,2004-11-05,0,0,2,0,0,2
Chiba,2004-11-06,0,0,2,0,0,2
Chiba,2004-11-07,0,0,2,0,0,2
Chiba,2004-11-08,0,0,2,0,0,2
Chiba,2004-11-09,0,0,2,0,0,2
Chiba,2004-11-10,0,0,2,0,0,2
Chiba,2004-11-11,0,0,2,0,0,2
Chiba,2004-11-12,0,0,2,0,0,2
Chiba,2004-11-13,0,0,2,0,0,2
Chiba,2004-11-14,0,0,2,0,0,2
Chiba,2004-11-15,0,0,2,0,0,2
Chiba,2004-11-16,0,0,2,0,0,2
Chiba,2004-11-17,0,0,2,0,0,2
Chiba,2004-11-18,0,0,2,0,0,2
Chiba,2004-11-19,0,0,2,0,0,2
Chiba,2004-11-20,0,0,2,0,0,2
Chiba,2004-11-21,0,0,2,0,0,2
Chiba,2004-11-22,0,0,2,0,0,2
Chiba,2004-11-23,0,0,2,0,0,2
Chiba,2004-11-24,0,0,2,0,0,2
Chiba,2004-11-25,0,0,2,0,0,2
Chiba,2004-11-26,0,0,2,0,0,2
Chiba,2004-11-27,0,0,2,0,0,2
Chiba,2004-11-28,0,0,2,0,0,2
Chiba,2004-11-29,0,0,2,0,0,2
Chiba,2004-11-30,0,0,2,0,0,2
Chiba,2004-12-01,0,0,2,0,0,2
Chiba,2004-12-02,0,0,2,0,0,2
Chiba,2004-12-03,0,0,2,0,0,2
Chiba,2004-12-04,0,0,2,0,0,2
Chiba,2004-12-05,0,0,2,0,0,2
